Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	2	19.0874050777232	14.8288593292236	3.39857339859009	34.742007429601	3.43280272584537	1.78057742903737	0.65760498426024
about	3.02482165158884	11.4290392646595	14.9235877990723	3.84434056282043	19.5037578708541	3.35432065846491	3.02482165158884	0.83539214531248
above	3.95882251466533	11.7227626958088	15.1306715011597	8.4023380279541	15.4411866328907	8.00433875872694	3.95882251466533	0.714256964312214
after	2	18.786914950293	14.8096837997437	7.37754392623901	30.6457313041451	6.92809859644098	1.37687578803668	1.18423958573112
airplane	4.66982185403466	14.2953811472164	17.9010562896729	11.7793312072754	16.7637001874553	11.8270621069775	4.66982185403466	0.398278921379457
all	2	18.7664274458285	14.8973827362061	6.56465816497803	31.0536543409307	6.47920055072624	1.63003892678904	0.859773887815758
alligator	4.96694426502814	15.4270649108667	18.9098815917969	13.5040493011475	17.182904418056	13.6712254036774	4.96694426502814	0.227083267555667
am	3.63404128744374	10.8169567663145	16.6019077301025	6.01548480987549	15.5304563061854	6.10345722644368	3.63404128744374	0.374029981987635
and	2.71988006995486	9.4978791117495	14.870415687561	3.29231357574463	15.3136020801234	3.68215614337559	2.71988006995486	0.0830428027910492
animal	4.26127409999692	12.4522828251607	15.6677274703979	9.35049247741699	15.4710662274354	9.43349942288602	4.26127409999692	0.426247771458358
ankle	4.29245045363129	13.1744632470281	18.9043502807617	9.16557788848877	17.3115722198699	9.0373542741863	4.29245045363129	0.512365035630533
another	3.05490939548595	12.6316723256165	15.3423147201538	7.02260494232178	18.8149167852076	6.44842786602542	3.05490939548595	0.972283320377028
any	3.20530916277125	11.6781033982977	14.8918790817261	6.27030181884766	17.2921353290703	6.06407146752516	3.20530916277125	0.71750266705777
apple	4.67167559326267	13.0916839604873	16.3529987335205	10.6470136642456	15.6356169199044	10.5477510010702	4.67167559326267	0.399126970376481
are	3.45291461013446	9.52673292551746	14.9137020111084	3.7495174407959	15.467494058015	3.58597179301992	3.45291461013446	0.548179573343921
arm	3.92157775601415	9.34533286950158	14.8547410964966	5.08954954147339	13.5574490544997	5.13321668450346	3.92157775601415	0.460940827768808
around	2.66340934630409	12.6408856975949	14.8712091445923	4.98196744918823	20.9899599459212	4.29181144926861	2.66340934630409	1.02440126332757
asleep	4.29210163435513	10.103378363248	15.2166128158569	4.85666275024414	15.1267976709672	5.07995905552876	4.29210163435513	0.300046537043762
